1.000000E+6 3.356544E-5 1.500000E+6 9.702841E-5 2.000000E+6 2.136274E-4    4
 2.500000E+6 4.040427E-4 3.000000E+6 6.941583E-4 3.500000E+6 1.117295E-3    5
 4.000000E+6 1.717247E-3 4.500000E+6 2.552098E-3 5.000000E+6 3.697825E-3    6
 5.500000E+6 5.247812E-3 6.000000E+6 7.300280E-3 6.500000E+6 9.934712E-3    7
 7.000000E+6 1.323158E-2 7.500000E+6 1.741086E-2 8.000000E+6 2.297918E-2    8
 8.500000E+6 3.074199E-2 9.000000E+6 4.183622E-2 9.500000E+6 5.792379E-2    9
 1.000000E+7 8.151016E-2 1.050000E+7 1.162934E-1 1.100000E+7 1.671422E-1   10
 1.150000E+7 2.376527E-1 1.200000E+7 3.204936E-1 1.250000E+7 3.863779E-1   11
 1.300000E+7 4.076650E-1 1.350000E+7 3.982870E-1 1.400000E+7 3.895386E-1   12
 1.450000E+7 3.925581E-1 1.500000E+7 3.967363E-1 1.550000E+7 3.849978E-1   13
 1.600000E+7 3.518129E-1 1.650000E+7 3.061968E-1 1.700000E+7 2.597733E-1   14
 1.750000E+7 2.189630E-1 1.800000E+7 1.854161E-1 1.850000E+7 1.585398E-1   15
 1.900000E+7 1.371109E-1 1.950000E+7 1.199344E-1 2.000000E+7 1.060306E-1   16
 2.100000E+7 8.492157E-2 2.200000E+7 7.007272E-2 2.300000E+7 5.919096E-2   17
 2.400000E+7 5.093988E-2 2.500000E+7 4.450767E-2 2.600000E+7 3.938044E-2   18
 2.700000E+7 3.522031E-2 2.800000E+7 3.179737E-2 2.900000E+7 2.895013E-2   19
 3.000000E+7 2.656193E-2 3.200000E+7 2.283697E-2 3.400000E+7 2.014394E-2   20
 3.600000E+7 1.818401E-2 3.800000E+7 1.675722E-2 4.000000E+7 1.572292E-2   21
 4.200000E+7 1.497894E-2 4.400000E+7 1.444958E-2 4.600000E+7 1.407818E-2   22
 4.800000E+7 1.382210E-2 5.000000E+7 1.364920E-2 5.200000E+7 1.353522E-2   23
 5.400000E+7 1.346189E-2 5.600000E+7 1.341549E-2 5.800000E+7 1.338569E-2   24
 6.000000E+7 1.336481E-2 6.200000E+7 1.334715E-2 6.400000E+7 1.332850E-2   25
 6.600000E+7 1.330583E-2 6.800000E+7 1.327698E-2 7.000000E+7 1.324046E-2   26
 7.200000E+7 1.319531E-2 7.400000E+7 1.314096E-2 7.600000E+7 1.307713E-2   27
 7.800000E+7 1.300381E-2 8.000000E+7 1.292112E-2 8.500000E+7 1.267554E-2   28
 9.000000E+7 1.238021E-2 9.500000E+7 1.204388E-2 1.000000E+8 1.167619E-2   29
 1.100000E+8 1.088614E-2 1.200000E+8 1.008688E-2 1.300000E+8 9.349940E-3   30
 1.400000E+8 8.740663E-3 1.500000E+8 7.982879E-3 1.600000E+8 7.328273E-3   31
 1.700000E+8 6.758222E-3 1.800000E+8 6.258216E-3 1.900000E+8 5.816793E-3   32
 2.000000E+8 5.424794E-3 
